date,description,amount
2026-01-06,Lyft,-21.05
2026-01-06,Toll Pass,-12.58
2026-01-06,Apple Store,-31.48
2026-01-06,Doctor Office,-117.71
2026-01-06,Toll Pass,-16.48
2026-01-06,McDonalds,-12.27
2026-01-07,Bank Fee,-11.28
2026-01-07,CVS Pharmacy,-28.29
2026-01-07,Investment Transfer,-534.03
2026-01-07,Pizza Hut,-30.65
2026-01-08,Apple Store,-29.31
2026-01-08,Tax Refund,850.0
2026-01-08,CVS Pharmacy,-37.62
2026-01-08,Credit Card Payment,-1440.29
2026-01-08,Auto Repair Shop,-343.93
2026-01-08,Local Restaurant,-70.2
2026-01-09,Lyft,-19.52
2026-01-09,Bowling Alley,-36.69
2026-01-09,Walmart,-262.74
2026-01-09,Lyft,-15.57
2026-01-09,Investment Transfer,-510.76
2026-01-10,United Airlines,-474.01
2026-01-10,Walgreens,-24.49
2026-01-10,Doctor Office,-107.27
2026-01-10,Tax Refund,850.0
2026-01-10,Toll Pass,-15.95
2026-01-10,Bank Fee,-13.84
2026-01-11,Steam Games,-63.61
2026-01-11,Electric Company,-114.14
2026-01-11,Local Restaurant,-64.57
2026-01-11,Concert Tickets,-121.5
2026-01-12,Freelance Client,1250.0
2026-01-12,Parking Meter,-6.5
2026-01-12,Employer Inc - Salary,8500.0
2026-01-12,Sushi Place,-47.54
2026-01-12,United Airlines,-509.67
2026-01-12,Gas Station (Trip),-52.13
2026-01-13,CVS Pharmacy,-30.09
2026-01-13,Spotify,-10.43
2026-01-13,Gym Membership,-50.74
2026-01-13,Marriott Hotel,-356.69
2026-01-13,Sushi Place,-51.17
2026-01-14,Nike Store,-102.88
2026-01-14,Doctor Office,-113.5
2026-01-14,Movie Theater,-26.26
2026-01-14,Employer Inc - Salary,8500.0
2026-01-14,Bowling Alley,-43.19
2026-01-14,Gas Station (Trip),-42.58
2026-01-14,Local Restaurant,-61.06
2026-01-14,Concert Tickets,-131.79
2026-01-15,Auto Repair Shop,-398.86
2026-01-15,CVS Pharmacy,-28.65
2026-01-15,Hardware Store,-20.79
2026-01-15,Dentist,-276.71
2026-01-16,Starbucks,-5.97
2026-01-16,Employer Inc - Salary,8500.0
2026-01-16,Apple Store,-30.76
2026-01-16,Tax Refund,850.0
2026-01-16,Gas Station (Trip),-53.79
2026-01-17,Parking Meter,-9.45
2026-01-17,Amazon,-74.28
2026-01-17,Walmart,-251.62
2026-01-17,Marriott Hotel,-341.3
2026-01-18,Toll Pass,-14.88
2026-01-18,Target,-158.81
2026-01-18,Toll Pass,-12.33
2026-01-18,United Airlines,-507.29
2026-01-18,Whole Foods Market,-164.92
2026-01-18,Gas Utility,-67.47
2026-01-19,Credit Card Payment,-1527.82
2026-01-19,Marriott Hotel,-359.67
2026-01-19,Trader Joes,-77.85
2026-01-19,Starbucks,-6.11
2026-01-19,Rent Payment,-2597.85
2026-01-19,Bank Fee,-12.72
2026-01-19,Investment Transfer,-415.53
2026-01-19,Nike Store,-126.59
2026-01-20,Gym Membership,-36.4
2026-01-20,Steam Games,-68.25
2026-01-20,Pizza Hut,-24.16
2026-01-20,Shell Gas Station,-39.89
2026-01-20,Costco,-261.99
2026-01-20,United Airlines,-415.58
2026-01-21,Kroger,-113.03
2026-01-21,Auto Repair Shop,-394.14
2026-01-21,Stock Dividend,125.5
2026-01-21,McDonalds,-14.74
2026-01-21,Bank Fee,-10.23
2026-01-21,Spotify,-11.19
2026-01-21,Electric Company,-105.11
2026-01-21,Gas Station (Trip),-46.52
2026-01-22,CVS Pharmacy,-39.77
2026-01-22,Hardware Store,-27.66
2026-01-22,Doctor Office,-118.69
2026-01-22,Gas Station (Trip),-42.54
2026-01-22,Investment Transfer,-448.66
2026-01-22,Spotify,-9.1
2026-01-23,Chipotle,-12.96
2026-01-23,Target,-162.0
2026-01-23,Credit Card Payment,-1633.59
2026-01-24,Home Depot,-98.71
2026-01-24,Sushi Place,-51.69
2026-01-24,Chipotle,-16.5
2026-01-25,Gym Membership,-47.89
2026-01-25,Home Depot,-106.37
2026-01-25,Spotify,-11.05
2026-01-25,Tax Refund,850.0
2026-01-25,Home Depot,-74.88
2026-01-25,Sushi Place,-41.72
2026-01-25,Bowling Alley,-45.91
2026-01-26,Lowes,-131.08
2026-01-26,Tax Refund,850.0
2026-01-26,Nike Store,-141.0
2026-01-26,Walmart,-234.59
2026-01-26,United Airlines,-534.57
2026-01-26,Safeway,-79.75
2026-01-26,Whole Foods Market,-176.97
2026-01-26,Chipotle,-12.63
2026-01-27,Parking Meter,-7.08
2026-01-27,Employer Inc - Salary,8500.0
2026-01-27,Stock Dividend,125.5
2026-01-27,Freelance Client,1250.0
2026-01-28,Electric Company,-104.71
2026-01-28,Enterprise Rent-A-Car,-202.29
2026-01-28,Trader Joes,-92.45
2026-01-28,United Airlines,-529.53
2026-01-28,Local Restaurant,-66.88
2026-01-29,Sushi Place,-53.63
2026-01-29,Spotify,-8.72
2026-01-29,Water Dept,-53.61
2026-01-29,Safeway,-59.64
2026-01-29,Starbucks,-5.91
2026-01-29,United Airlines,-362.79
2026-01-30,Bank Fee,-13.93
2026-01-30,McDonalds,-14.8
2026-01-30,Marriott Hotel,-368.49
2026-01-30,Netflix,-15.04
2026-01-30,Whole Foods Market,-139.61
2026-01-31,Investment Transfer,-587.52
2026-01-31,Lowes,-142.62
2026-01-31,Walmart,-243.02
2026-01-31,Steam Games,-70.47
2026-01-31,Movie Theater,-27.0
2026-01-31,Credit Card Payment,-1680.63
2026-01-31,Enterprise Rent-A-Car,-224.28
2026-01-31,Steam Games,-66.82
2026-02-01,Spotify,-8.37
2026-02-01,Nike Store,-115.17
2026-02-01,Shell Gas Station,-45.95
2026-02-01,Enterprise Rent-A-Car,-161.23
2026-02-01,Pizza Hut,-25.61
2026-02-01,Costco,-254.16
2026-02-01,Lyft,-16.62
2026-02-02,Freelance Client,1250.0
2026-02-02,Steam Games,-48.15
2026-02-02,Tax Refund,850.0
2026-02-02,Chevron,-51.4
2026-02-02,Gym Membership,-52.24
2026-02-02,Gym Membership,-47.51
2026-02-02,Bank Fee,-12.64
2026-02-02,Starbucks,-4.71
2026-02-03,Bowling Alley,-36.94
2026-02-03,Chipotle,-13.24
2026-02-03,McDonalds,-10.91
2026-02-04,Lowes,-139.3
2026-02-04,Nike Store,-127.19
2026-02-04,Costco,-259.09
2026-02-04,Chipotle,-12.82
2026-02-04,Walgreens,-29.31
2026-02-04,Nike Store,-148.28
2026-02-04,Tax Refund,850.0
2026-02-04,Costco,-241.86
2026-02-05,Trader Joes,-93.71
2026-02-05,Dentist,-280.51
2026-02-05,Bowling Alley,-37.23
2026-02-05,Pizza Hut,-24.05
2026-02-06,Home Depot,-72.8
2026-02-06,Bowling Alley,-52.62
2026-02-06,Marriott Hotel,-356.91
2026-02-06,Bank Fee,-10.87
2026-02-06,Bank Fee,-13.56
2026-02-06,Credit Card Payment,-1424.34
2026-02-07,Home Depot,-73.18
2026-02-07,Lyft,-17.26
2026-02-07,Safeway,-76.77
2026-02-07,Lowes,-173.41
2026-02-07,Investment Transfer,-574.33
2026-02-08,Electric Company,-112.79
2026-02-08,Marriott Hotel,-368.7
2026-02-08,Bank Fee,-10.55
2026-02-08,Safeway,-57.33
2026-02-08,Chipotle,-12.32
2026-02-09,Apple Store,-34.29
2026-02-09,Concert Tickets,-112.03
2026-02-09,Auto Repair Shop,-369.55
2026-02-09,Lyft,-16.22
2026-02-09,Auto Repair Shop,-391.93
2026-02-09,Home Depot,-98.02
2026-02-09,Lyft,-21.92
2026-02-10,Doctor Office,-145.91
2026-02-10,Investment Transfer,-453.84
2026-02-10,Enterprise Rent-A-Car,-183.66
2026-02-10,Credit Card Payment,-1394.24
2026-02-10,Target,-135.48
2026-02-10,Electric Company,-130.06
2026-02-11,Bank Fee,-9.8
2026-02-11,Enterprise Rent-A-Car,-217.79
2026-02-11,Enterprise Rent-A-Car,-155.76
2026-02-11,Gas Station (Trip),-46.88
2026-02-11,United Airlines,-392.02
2026-02-12,Investment Transfer,-474.21
2026-02-12,Uber,-20.38
2026-02-12,Netflix,-14.4
2026-02-13,Rent Payment,-2126.43
2026-02-13,Tax Refund,850.0
2026-02-13,Gas Station (Trip),-39.84
2026-02-13,Rent Payment,-2981.96
